,symbol,profile
ceo,ARNC,Charles P. Blankenship
companyName,ARNC,Arconic Inc.
description,ARNC,"Arconic Inc is engaged in manufacturing value-added aluminum and specialty metals products for a wide variety of industrial end markets, including aerospace and defense, building and construction, and automotive."
exchange,ARNC,New York Stock Exchange
industry,ARNC,Industrial Products
sector,ARNC,Industrials
website,ARNC,https://www.arconic.com
ceo,ANET,Jayshree Ullal
companyName,ANET,Arista Networks Inc.
description,ANET,"Arista Networks Inc is a supplier of cloud networking solutions that use software innovations to address the needs of large-scale Internet companies, cloud service providers, and next-generation data centers for enterprise support."
exchange,ANET,New York Stock Exchange
industry,ANET,Computer Hardware
sector,ANET,Technology
website,ANET,http://www.arista.com
ceo,AJG,J. Patrick Gallagher
companyName,AJG,Arthur J. Gallagher & Co.
description,AJG,Arthur J. Gallagher & Co is engaged in providing insurance brokerage and consulting services and third-party claims settlement and administration services to both domestic and international entities.
exchange,AJG,New York Stock Exchange
industry,AJG,Brokers & Exchanges
sector,AJG,Financial Services
website,AJG,http://www.ajg.com
ceo,AIZ,Alan B. Colberg
companyName,AIZ,Assurant Inc.
description,AIZ,Assurant Inc is a provider of specialized insurance products and related services in North America and selected other international markets.
exchange,AIZ,New York Stock Exchange
industry,AIZ,Insurance
sector,AIZ,Financial Services
website,AIZ,http://www.assurant.com
ceo,ATO,Michael E. Haefner
companyName,ATO,Atmos Energy Corporation
description,ATO,"Atmos Energy Corp is engaged in the utilities sector. It distributes natural gas to residential, commercial, public authority & industrial customers."
exchange,ATO,New York Stock Exchange
industry,ATO,Utilities - Regulated
sector,ATO,Utilities
website,ATO,http://www.atmosenergy.com
ceo,T,Randall L. Stephenson
companyName,T,AT&T Inc.
description,T,"AT&T Inc is engaged in provision of communications and digital entertainment services in the United States and the world. It provides fixed-line services, including voice, data, and television services to consumers and small businesses."
exchange,T,New York Stock Exchange
industry,T,Communication Services
sector,T,Communication Services
website,T,http://www.att.com
ceo,ADSK,Andrew Anagnost
companyName,ADSK,Autodesk Inc.
description,ADSK,Autodesk Inc is engaged in the software industry. It develops software for a number of markets such as construction and media.
exchange,ADSK,Nasdaq Global Select
industry,ADSK,Application Software
sector,ADSK,Technology
website,ADSK,http://www.autodesk.com
ceo,ADP,Carlos A. Rodriguez
companyName,ADP,Automatic Data Processing Inc.
description,ADP,"Automatic Data Processing Inc is a provider of miscellaneous business solutions. Its business includes provision of technology-based outsourcing solutions to employers, vehicle retailers and manufacturers."
exchange,ADP,Nasdaq Global Select
industry,ADP,Business Services
sector,ADP,Industrials
website,ADP,http://www.adp.com
ceo,AZO,William C. Rhodes
companyName,AZO,AutoZone Inc.
description,AZO,"AutoZone Inc is a retailer and distributor of automotive replacement parts in the United States. The company's store sell a diverse range of essentials and auto parts for cars, sport utility vehicles, vans and light trucks."
exchange,AZO,New York Stock Exchange
industry,AZO,Retail - Apparel & Specialty
sector,AZO,Consumer Cyclical
website,AZO,http://www.autozone.com
ceo,AVB,Timothy J. Naughton
companyName,AVB,AvalonBay Communities Inc.
description,AVB,"AvalonBay Communities Inc operates in the real estate sector. As an investment trust, it develops multifamily communities in the United States."
exchange,AVB,New York Stock Exchange
industry,AVB,REITs
sector,AVB,Real Estate
website,AVB,http://www.avalonbay.com
ceo,AVY,Mitchell R. Butier
companyName,AVY,Avery Dennison Corporation
description,AVY,"Avery Dennison Corp is a manufacturer of miscellaneous business equipment. It is engaged in the production of pressure-sensitive materials, office products and a variety of tickets, tags, labels and other converted products."
exchange,AVY,New York Stock Exchange
industry,AVY,Industrial Products
sector,AVY,Industrials
website,AVY,http://www.averydennison.com
ceo,BLL,John A. Hayes
companyName,BLL,Ball Corporation
description,BLL,Ball Corp is the world's largest metal can manufacturer. The company primarily serves the North American food can market with its packaging products and the US defense industry by offering various components used in the space mission.
exchange,BLL,New York Stock Exchange
industry,BLL,Packaging & Containers
sector,BLL,Consumer Cyclical
website,BLL,http://www.ball.com
ceo,BAC,Brian T. Moynihan
companyName,BAC,Bank of America Corporation
description,BAC,"Bank of America Corporation is a bank holding and a financial holding company. The company provides financial products and services to people, companies and institutional investors."
exchange,BAC,New York Stock Exchange
industry,BAC,Banks
sector,BAC,Financial Services
website,BAC,http://www.bankofamerica.com
ceo,BK,Charles W. Scharf
companyName,BK,Bank of New York Mellon Corporation (The)
description,BK,"Bank of New York Mellon Corporation is an investment company. The company provides investment management, investment services and wealth management that help institutions and individuals succeed in markets all over the world."
exchange,BK,New York Stock Exchange
industry,BK,Asset Management
sector,BK,Financial Services
website,BK,https://www.bnymellon.com
ceo,BAX,Jose E. Almeida
companyName,BAX,Baxter International Inc.
description,BAX,"Baxter International Inc operates in the healthcare industry. It provides renal and hospital products such as infusion systems and systems, parenteral nutrition therapies, and biosurgery products."
exchange,BAX,New York Stock Exchange
industry,BAX,Medical Instruments & Equipment
sector,BAX,Healthcare
website,BAX,http://www.baxter.com
ceo,BBT,Kelly S. King
companyName,BBT,BB&T Corporation
description,BBT,"BB&T Corporation is a financial holding company. It is a regional banking company with a presence primarily in the Southeastern United States. The company provides a range of banking services, and loans to businesses and consumers."
exchange,BBT,New York Stock Exchange
industry,BBT,Banks
sector,BBT,Financial Services
website,BBT,http://www.bbt.com
ceo,BDX,
companyName,BDX,Becton Dickinson and Company
description,BDX,"Becton, Dickinson and Co is a healthcare company. It manufacture and sales medical supplies, devices, laboratory equipment and diagnostic products. It operates in two segments BD Medical and BD Life Sciences."
exchange,BDX,New York Stock Exchange
industry,BDX,Medical Instruments & Equipment
sector,BDX,Healthcare
website,BDX,http://www.bd.com
ceo,BBY,Hubert Joly
companyName,BBY,Best Buy Co. Inc.
description,BBY,"Best Buy Co Inc is a U.S transnational consumer electronics company. Its products include tablets and computers, televisions, mobile phones, large and small appliances, entertainment products, digital imaging and related accessories."
exchange,BBY,New York Stock Exchange
industry,BBY,Retail - Apparel & Specialty
sector,BBY,Consumer Cyclical
website,BBY,http://www.bestbuy.com
ceo,BIIB,Michel Vounatsos
companyName,BIIB,Biogen Inc.
description,BIIB,"Biogen Inc is a biopharmaceutical company. It is engaged in discovering, developing, manufacturing and delivering therapies to patients for the treatment of neurological, rare and autoimmune diseases."
exchange,BIIB,Nasdaq Global Select
industry,BIIB,Biotechnology
sector,BIIB,Healthcare
website,BIIB,http://www.biogen.com
ceo,BLK,Laurence D. Fink
companyName,BLK,BlackRock Inc.
description,BLK,"BlackRock Inc provides investment management services to institutional clients and to individual investors. Its products include single- and multi-asset portfolios investing in equities, fixed income, alternatives and money market instruments."
exchange,BLK,New York Stock Exchange
industry,BLK,Asset Management
sector,BLK,Financial Services
website,BLK,http://www.blackrock.com
ceo,HRB,
companyName,HRB,H&R Block Inc.
description,HRB,"H&R Block Inc is a consumer tax services provider. It provides assisted income tax return preparation, digital do-it-yourself tax solutions and other services and products related to income tax return preparation to the public in the United States."
exchange,HRB,New York Stock Exchange
industry,HRB,Personal Services
sector,HRB,Consumer Cyclical
website,HRB,http://www.hrblock.com
ceo,BA,Dennis A. Muilenburg
companyName,BA,The Boeing Company
description,BA,"Boeing Co designs, develops, manufactures, sells, services and supports commercial jetliners, military aircraft, satellites, missile defense, human space flight and launch systems and services."
exchange,BA,New York Stock Exchange
industry,BA,Conglomerates
sector,BA,Industrials
website,BA,http://www.boeing.com
ceo,BKNG,Glenn Fogel
companyName,BKNG,Booking Holdings Inc.
description,BKNG,"Booking Holdings Inc is an online travel agency. The firm through its branded sites offer booking services for hotel rooms, airline tickets, rental restaurant reservations, cruises, and other vacation packages."
exchange,BKNG,Nasdaq Global Select
industry,BKNG,Travel & Leisure
sector,BKNG,Consumer Cyclical
website,BKNG,http://www.bookingholdings.com
ceo,BWA,James R. Verrier
companyName,BWA,BorgWarner Inc.
description,BWA,"BorgWarner Inc is a supplier of auto parts. Its products comprise technologies for combustion, hybrid and electric vehicles. The company operates in two business segments that are Engine and Drivetrain. The Engine segment generates maximum revenue."
exchange,BWA,New York Stock Exchange
industry,BWA,Autos
sector,BWA,Consumer Cyclical
website,BWA,http://www.borgwarner.com
ceo,BXP,Owen D. Thomas
companyName,BXP,Boston Properties Inc.
description,BXP,"Boston Properties Inc is a fully integrated, self-administered and self-managed real estate investment trust. The company owns, develops and manages office properties in the United States."
exchange,BXP,New York Stock Exchange
industry,BXP,REITs
sector,BXP,Real Estate
website,BXP,http://www.bostonproperties.com
ceo,BSX,Michael F. Mahoney
companyName,BSX,Boston Scientific Corporation
description,BSX,"Boston Scientific Corp is a developer, manufacturer, and marketer of medical devices. The firm markets its devices to health-care professionals and institutions globally. Foreign sales account for nearly half of the firm's total sales."
exchange,BSX,New York Stock Exchange
industry,BSX,Medical Devices
sector,BSX,Healthcare
website,BSX,http://www.bostonscientific.com
ceo,BMY,Giovanni Caforio
companyName,BMY,Bristol-Myers Squibb Company
description,BMY,"Bristol-Myers Squibb Co is engaged in discovery, development, licensing, manufacturing, marketing, distribution and sale of biopharmaceuticals products. The company operates in one segment that is Biopharmaceuticals."
exchange,BMY,New York Stock Exchange
industry,BMY,Drug Manufacturers
sector,BMY,Healthcare
website,BMY,http://www.bms.com
ceo,AVGO,Hock E. Tan
companyName,AVGO,Broadcom Limited
description,AVGO,"Broadcom Ltd is engaged in designing, developing and supplying analog and digital semiconductor connectivity solutions. Its product portfolio serves wired infrastructure, wireless communications, enterprise storage and industrial and other end markets."
exchange,AVGO,Nasdaq Global Select
industry,AVGO,Semiconductors
sector,AVGO,Technology
website,AVGO,http://www.broadcom.com
ceo,BR,Richard J. Daly
companyName,BR,Broadridge Financial Solutions Inc.Common Stock
description,BR,"Broadridge Financial Solutions Inc provides investor communications & technology-driven solutions to banks, broker-dealers and corporate issuers. Its services include investor & customer communications, securities processing & data & analytics solutions."
exchange,BR,New York Stock Exchange
industry,BR,Business Services
