,symbol,profile
exchange,IPGP,Nasdaq Global Select
industry,IPGP,Semiconductors
sector,IPGP,Technology
website,IPGP,http://www.ipgphotonics.com
ceo,IQV,Ari Bousbib
companyName,IQV,IQVIA Holdings Inc.
description,IQV,"IQVIA Holdings Inc is an information and technology-enabled healthcare service provider to the pharmaceutical services, biotechnology, and healthcare industries. The Commercial Solutions and Research and Development Solutions generate maximum revenue."
exchange,IQV,New York Stock Exchange
industry,IQV,Medical Diagnostics & Research
sector,IQV,Healthcare
website,IQV,https://www.quintilesims.com
ceo,IRM,William L. Meaney
companyName,IRM,Iron Mountain Incorporated (Delaware)Common Stock REIT
description,IRM,"Iron Mountain Inc provides records, information management services, and data management services, along with the complex storage and information management such as rising storage rental costs, and increased litigation, and disaster recovery requirements."
exchange,IRM,New York Stock Exchange
industry,IRM,Business Services
sector,IRM,Industrials
website,IRM,http://www.ironmountain.com
ceo,JKHY,David B. Foss
companyName,JKHY,Jack Henry & Associates Inc.
description,JKHY,"Jack Henry & Associates Inc is a provider of information processing solutions for community banks. Its products and services include processing transactions, automating business processes and managing information."
exchange,JKHY,Nasdaq Global Select
industry,JKHY,Business Services
sector,JKHY,Industrials
website,JKHY,http://www.jackhenry.com
ceo,JEC,Steven J. Demetriou
companyName,JEC,Jacobs Engineering Group Inc.
description,JEC,"Jacobs Engineering Group Inc is engaged in the engineering industry. The company provides technical, professional & construction services including engineering, design & architectural, construction management, operations & maintenance."
exchange,JEC,New York Stock Exchange
industry,JEC,Engineering & Construction
sector,JEC,Industrials
website,JEC,http://www.jacobs.com
ceo,JBHT,John N. Roberts
companyName,JBHT,J.B. Hunt Transport Services Inc.
description,JBHT,"JB Hunt Transport Services Inc, together with its wholly owned subsidiaries provides surface transportation and delivery services to a group of customers and consumers throughout the continental United States, Canada and Mexico."
exchange,JBHT,Nasdaq Global Select
industry,JBHT,Transportation & Logistics
sector,JBHT,Industrials
website,JBHT,http://www.jbhunt.com
ceo,SJM,
companyName,SJM,J.M. Smucker Company (The)
description,SJM,"JM Smucker Co operates in the consumer foods industry. It deals with a range of products spanning food, beverage and pet products under well-known brands such as Folgers, Crisco, Milk-Bone, and Kibbles 'n Bits."
exchange,SJM,New York Stock Exchange
industry,SJM,Consumer Packaged Goods
sector,SJM,Consumer Defensive
website,SJM,http://www.smuckers.com
ceo,JNJ,Alex Gorsky
companyName,JNJ,Johnson & Johnson
description,JNJ,"Johnson & Johnson is a holding company, which is engaged in the research and development, manufacture and sale of products in the health care field within its Consumer, Pharmaceutical and Medical Devices segments."
exchange,JNJ,New York Stock Exchange
industry,JNJ,Drug Manufacturers
sector,JNJ,Healthcare
website,JNJ,http://www.jnj.com
ceo,JCI,George R. Oliver
companyName,JCI,Johnson Controls International plc
description,JCI,"Johnson Controls International PLC manufacturers, installs, and services HVAC systems, building management systems and controls, and industrial refrigeration systems. The firm along with Tyco International offers fire and security products and services."
exchange,JCI,New York Stock Exchange
industry,JCI,Building Materials
sector,JCI,Basic Materials
website,JCI,http://www.johnsoncontrols.com
ceo,JPM,James S. Dimon
companyName,JPM,JP Morgan Chase & Co.
description,JPM,"JPMorgan Chase & Co is a financial services firm and a banking institution. It is engaged in investment banking, commercial banking, treasury and securities services, asset management, retail financial services, and credit card businesses."
exchange,JPM,New York Stock Exchange
industry,JPM,Banks
sector,JPM,Financial Services
website,JPM,http://www.jpmorganchase.com
ceo,JNPR,Rami Rahim
companyName,JNPR,Juniper Networks Inc.
description,JNPR,"Juniper Networks Inc operates in the communication equipment industry. It designs, develops and sells products and services that provide customers with network infrastructure. It caters to communication service providers and companies."
exchange,JNPR,New York Stock Exchange
industry,JNPR,Communication Equipment
sector,JNPR,Technology
website,JNPR,http://www.juniper.net
ceo,KSU,Patrick J. Ottensmeyer
companyName,KSU,Kansas City Southern
description,KSU,Kansas City Southern is engaged in the development of roadways and railways. The company is focused on growing the north/south freight corridor connecting key commercial and industrial markets in the United States.
exchange,KSU,New York Stock Exchange
industry,KSU,Transportation & Logistics
sector,KSU,Industrials
website,KSU,http://www.kcsouthern.com
ceo,K,Steven A. Cahillane
companyName,K,Kellogg Company
description,K,"Kellogg Co is engaged in the manufacturing and marketing of ready-to-eat cereal and convenience foods. Its products include cereal, cookies, crackers, and other packaged foods."
exchange,K,New York Stock Exchange
industry,K,Consumer Packaged Goods
sector,K,Consumer Defensive
website,K,http://www.kelloggcompany.com
ceo,KEY,Beth E. Mooney
companyName,KEY,KeyCorp
description,KEY,"KeyCorp is present in the financial service domain. Its core revenue is derived from the provision of retail and commercial banking, investment management and consumer finance services."
exchange,KEY,New York Stock Exchange
industry,KEY,Banks
sector,KEY,Financial Services
website,KEY,http://www.key.com
ceo,KEYS,Ronald S. Nersesian
companyName,KEYS,Keysight Technologies Inc.
description,KEYS,"Keysight Technologies Inc is a measurement company providing core electronic design and test solutions to communications and electronics industries. It provides electronic measurement instruments and systems and related software, software design tools."
exchange,KEYS,New York Stock Exchange
industry,KEYS,Computer Hardware
sector,KEYS,Technology
website,KEYS,http://www.investor.keysight.com
ceo,KMB,Thomas J. Falk
companyName,KMB,Kimberly-Clark Corporation
description,KMB,"Kimberly-Clark Corp is engaged in the manufacturing and marketing of a range of products made from natural or synthetic fibers using technologies in fibers, nonwovens, and absorbency. It offers personal care, consumer tissue, and K-C professional."
exchange,KMB,New York Stock Exchange
industry,KMB,Consumer Packaged Goods
sector,KMB,Consumer Defensive
website,KMB,http://www.kimberly-clark.com
ceo,KIM,Conor C. Flynn
companyName,KIM,Kimco Realty Corporation
description,KIM,Kimco Realty Corp is real estate investment trust that owns and operates neighborhood and community open-air shopping centers in North America.
exchange,KIM,New York Stock Exchange
industry,KIM,REITs
sector,KIM,Real Estate
website,KIM,http://www.kimcorealty.com
ceo,KMI,Steven J. Kean
companyName,KMI,Kinder Morgan Inc.
description,KMI,"Kinder Morgan Inc is an energy infrastructure company. The Company transports natural gas, refined petroleum products, crude oil, condensate, CO2 and other products."
exchange,KMI,New York Stock Exchange
industry,KMI,Oil & Gas - Midstream
sector,KMI,Energy
website,KMI,http://www.kindermorgan.com
ceo,KLAC,Richard P. Wallace
companyName,KLAC,KLA-Tencor Corporation
description,KLAC,KLA-Tencor Corp designs and manufactures yield-management and process-monitoring systems for the semiconductor industry. The company also provides systems for optical metrology and e-beam metrology.
exchange,KLAC,Nasdaq Global Select
industry,KLAC,Semiconductors
sector,KLAC,Technology
website,KLAC,http://www.kla-tencor.com
ceo,KSS,Kevin Mansell
companyName,KSS,Kohl's Corporation
description,KSS,"Kohl's Corp is an American broadlines retailer. It operates department stores that sell moderately priced exclusive and national brand apparel, footwear, accessories, beauty and home products. The company also has an e-commerce platform."
exchange,KSS,New York Stock Exchange
industry,KSS,Retail - Apparel & Specialty
sector,KSS,Consumer Cyclical
website,KSS,https://www.kohlscorporation.com
ceo,KHC,Bernardo Hees
companyName,KHC,The Kraft Heinz Company
description,KHC,"The Kraft Heinz Co is a food and beverage company. It manufactures and market food and beverage products, including condiments and sauces, cheese and dairy, meals, meat, refreshment beverages, and other grocery products."
exchange,KHC,Nasdaq Global Select
industry,KHC,Consumer Packaged Goods
sector,KHC,Consumer Defensive
website,KHC,http://www.heinz.com
ceo,KR,W. Rodney Mcmullen
companyName,KR,Kroger Company (The)
description,KR,"The Kroger Co operates grocery stores. Its coverage includes retail food and drug stores, multi-department stores, jewelry stores and convenience stores."
exchange,KR,New York Stock Exchange
industry,KR,Retail - Defensive
sector,KR,Consumer Defensive
website,KR,http://www.kroger.com
ceo,LB,Leslie H. Wexner
companyName,LB,L Brands Inc.
description,LB,"L Brands Inc is a women's intimate, personal care, and beauty retailer. The company through its retail outlets sells products under various brands such as Victoria's Secret, Pink, Bath & Body Works, La Senza, and Henri Bendel brands."
exchange,LB,New York Stock Exchange
industry,LB,Retail - Apparel & Specialty
sector,LB,Consumer Cyclical
website,LB,http://www.lb.com
ceo,LH,David P. King
companyName,LH,Laboratory Corporation of America Holdings
description,LH,Laboratory Corp of America Holdings is a healthcare diagnostics company. It is engaged in providing comprehensive clinical laboratory and end-to-end drug development services. It operates in two segments: LabCorp Diagnostics and Covance Drug Development.
exchange,LH,New York Stock Exchange
industry,LH,Medical Diagnostics & Research
sector,LH,Healthcare
website,LH,http://www.labcorp.com
ceo,LRCX,Martin B. Anstice
companyName,LRCX,Lam Research Corporation
description,LRCX,Lam Research Corp functions in the semiconductor industry. It develops and sells semiconductor processing systems that are used in the fabrication of integrated circuits.
exchange,LRCX,Nasdaq Global Select
industry,LRCX,Semiconductors
sector,LRCX,Technology
website,LRCX,http://www.lamrc.com
ceo,LW,Thomas P. Werner
companyName,LW,Lamb Weston Holdings Inc.
description,LW,"Lamb Weston Holdings Inc is a producer, provider, and marketer of value-added frozen potato products. It is a supplier of frozen potato products internationally. Its products include puff, chips, steak cut fries, trim fries, appetizers, among others."
exchange,LW,New York Stock Exchange
industry,LW,Consumer Packaged Goods
sector,LW,Consumer Defensive
website,LW,http://www.lambweston.com
ceo,LVS,Sheldon Gary Adelson
companyName,LVS,Las Vegas Sands Corp.
description,LVS,"Las Vegas Sands Corp operates fully integrated resorts with casino, hotel, entertainment. The company owns the Venetian Macao, Sands Macao, in Macau, the Marina Bay Sands resort in Singapore, the Venetian and Sands Bethlehem casinos in the United States."
exchange,LVS,New York Stock Exchange
industry,LVS,Travel & Leisure
sector,LVS,Consumer Cyclical
website,LVS,http://www.sands.com
ceo,LEG,Karl G. Glassman
companyName,LEG,Leggett & Platt Incorporated
description,LEG,"Leggett & Platt Inc is a manufacturer that conceives designs and produces engineered components and products found in homes, offices, retail stores, automobiles and commercial aircraft."
exchange,LEG,New York Stock Exchange
industry,LEG,Manufacturing - Apparel & Furniture
sector,LEG,Consumer Cyclical
website,LEG,http://www.leggett.com
ceo,LDOS,Roger A. Krone
companyName,LDOS,Leidos Holdings Inc.
description,LDOS,"Leidos Holdings Inc is engaged in providing scientific, engineering, system integration, technical services, and solutions to various government entities, including the U.S. Department of Defense and the Department of Homeland Security."
exchange,LDOS,New York Stock Exchange
industry,LDOS,Application Software
sector,LDOS,Technology
website,LDOS,https://www.leidos.com
ceo,LEN,Stuart A. Miller
companyName,LEN,Lennar Corporation Class A
description,LEN,"Lennar Corp is a homebuilding service provider. Its operations include the construction and sale of single-family attached and detached homes, and to a lesser extent multi-level residential buildings."
exchange,LEN,New York Stock Exchange
industry,LEN,Homebuilding & Construction
sector,LEN,Consumer Cyclical
website,LEN,http://www.lennar.com
ceo,LLY,David A. Ricks
companyName,LLY,Eli Lilly and Company
description,LLY,"Eli Lilly and Co is a pharmaceutical company with a focus on neuroscience, endocrinology, oncology, and immunology. It discovers, develops, manufactures, and sells human pharmaceutical products and animal health products."
exchange,LLY,New York Stock Exchange
industry,LLY,Drug Manufacturers
sector,LLY,Healthcare
website,LLY,http://www.lilly.com
ceo,LNC,Dennis R. Glass
companyName,LNC,Lincoln National Corporation
description,LNC,"Lincoln National Corp offers individual and group insurance, retirement, and investment products in the United States and the United Kingdom. It distributes its products through independent and company-employed agents, and banks."
exchange,LNC,New York Stock Exchange
industry,LNC,Insurance - Life
sector,LNC,Financial Services
website,LNC,http://www.lfg.com
ceo,LKQ,Dominick Zarcone
companyName,LKQ,LKQ Corporation
description,LKQ,"LKQ Corp is a provider of alternative and mechanical replacement products. The company distributes vehicle replacement parts, components, and systems used in repair and maintenance as well as specialty products and accessories."
exchange,LKQ,Nasdaq Global Select
industry,LKQ,Autos
sector,LKQ,Consumer Cyclical
website,LKQ,http://www.lkqcorp.com
ceo,LMT,Marillyn A. Hewson
companyName,LMT,Lockheed Martin Corporation
description,LMT,"Lockheed Martin Corp is a security and aerospace company engaged in the research, design, development, manufacture, integration, and sustainment of technology systems, products, and services."
exchange,LMT,New York Stock Exchange
industry,LMT,Aerospace & Defense
sector,LMT,Industrials
website,LMT,http://www.lockheedmartin.com
ceo,L,James S. Tisch
companyName,L,Loews Corporation
description,L,"Loews Corp deals in commercial property and casualty insurance business. Its other business operations are offshore oil and gas drilling rigs, transportation, storage of natural gas, and gathering and operation of a chain of hotels."
exchange,L,New York Stock Exchange
industry,L,Insurance - Property & Casualty
sector,L,Financial Services
website,L,http://www.loews.com
ceo,LOW,
companyName,LOW,Lowe's Companies Inc.
description,LOW,"Lowe's Companies Inc is a home-improvement products dealer. The firm's stores offer products and services for home decorating, maintenance, repair, and remodeling."
exchange,LOW,New York Stock Exchange
industry,LOW,Retail - Apparel & Specialty
sector,LOW,Consumer Cyclical
website,LOW,http://www.lowes.com
ceo,LYB,
companyName,LYB,LyondellBasell Industries NV Class A (Netherlands)
description,LYB,LyondellBasell Industries NV is a petrochemical producer operating in US and Europe. It produces polyethylene and propylene oxide used in various consumer and industrial end products.
exchange,LYB,New York Stock Exchange
industry,LYB,Chemicals
sector,LYB,Basic Materials
website,LYB,http://www.lyb.com
ceo,MTB,Rene F. Jones
companyName,MTB,M&T Bank Corporation
description,MTB,"M&T Bank Corp offers banking services. Its reportable segments are Business Banking, Commercial Banking, Commercial Real Estate, Discretionary Portfolio, Residential Mortgage Banking and Retail Banking."
exchange,MTB,New York Stock Exchange
industry,MTB,Banks
sector,MTB,Financial Services
website,MTB,http://www.mtb.com
ceo,MAC,Arthur M. Coppola
companyName,MAC,Macerich Company (The)
description,MAC,"Macerich Co is a real estate investment trust. Its business includes ownership, development, redevelopment, management and leasing of regional and community shopping centers."
exchange,MAC,New York Stock Exchange
industry,MAC,REITs
sector,MAC,Real Estate
website,MAC,http://www.macerich.com
ceo,M,Jeffrey Gennette
companyName,M,Macy's Inc
description,M,"Macy's Inc is an omnichannel retailer. It sells merchandise, including men's, women's and children's apparel and accessories, cosmetics, home furnishings and other consumer goods."
exchange,M,New York Stock Exchange
industry,M,Retail - Apparel & Specialty
sector,M,Consumer Cyclical
website,M,http://www.macysinc.com
ceo,MRO,Lee M. Tillman
companyName,MRO,Marathon Oil Corporation
description,MRO,"Marathon Oil Corp is an exploration and production company. It focuses on producing crude oil and condensate, natural gas liquids and natural gas as well as bitumen from oil sands deposits."
exchange,MRO,New York Stock Exchange
industry,MRO,Oil & Gas - E&P
sector,MRO,Energy
website,MRO,http://www.marathonoil.com
ceo,MPC,Gary R. Heminger
companyName,MPC,Marathon Petroleum Corporation
description,MPC,"Marathon Petroleum Corp is engaged in the oil & gas sector. The company is engaged in refining, marketing, retail and transportation of petroleum products in the United States."
exchange,MPC,New York Stock Exchange
industry,MPC,Oil & Gas - Refining & Marketing
sector,MPC,Energy
website,MPC,http://www.marathonpetroleum.com
ceo,MKTX,Richard M. Mcvey
companyName,MKTX,MarketAxess Holdings Inc.
description,MKTX,"MarketAxess Holdings Inc provides electronic fixed-income trading platform. It's trading categories include US and European high-grade corporate, European Government, and high-yield bonds. The firm also provides market information and analytic tools."
exchange,MKTX,Nasdaq Global Select
industry,MKTX,Brokers & Exchanges
sector,MKTX,Financial Services
website,MKTX,http://www.marketaxess.com
ceo,MAR,Arne M. Sorenson
companyName,MAR,Marriott International
description,MAR,"Marriott International Inc is an operator, franchisor and licensor of hotels and timeshare properties under different brand names. It also operates and develops residential properties and provides services to home/condominium owner associations."
exchange,MAR,Nasdaq Global Select
industry,MAR,Travel & Leisure
sector,MAR,Consumer Cyclical
website,MAR,http://www.marriott.com
ceo,MMC,Daniel S. Glaser
companyName,MMC,Marsh & McLennan Companies Inc.
description,MMC,"Marsh & McLennan Companies Inc is a professional services firm which provides advice and solutions in the areas of risk, strategy, and human capital."
exchange,MMC,New York Stock Exchange
industry,MMC,Brokers & Exchanges
sector,MMC,Financial Services
website,MMC,http://www.mmc.com
ceo,MLM,C. Howard Nye
companyName,MLM,Martin Marietta Materials Inc.
description,MLM,"Martin Marietta Materials Inc is a natural-resource-based building materials company. It supplies aggregates products used for the construction of infrastructure, nonresidential, and residential projects."
exchange,MLM,New York Stock Exchange
industry,MLM,Building Materials
sector,MLM,Basic Materials
website,MLM,http://www.martinmarietta.com
ceo,MAS,Keith J. Allman
companyName,MAS,Masco Corporation
description,MAS,"Masco Corp provides homebuilding solutions the United States. Its array of products entails faucets, showerheads, paints and coatings."
exchange,MAS,New York Stock Exchange
industry,MAS,Building Materials
sector,MAS,Basic Materials
website,MAS,http://www.masco.com
ceo,MA,Ajay Banga
companyName,MA,Mastercard Incorporated
description,MA,Mastercard Inc is a technology company that generates revenue by charging fees to its customers based on both the dollar volume of card activity and the number of transactions processed through the network.
exchange,MA,New York Stock Exchange
industry,MA,Credit Services
sector,MA,Financial Services
website,MA,http://www.mastercard.com
ceo,MKC,Lawrence E. Kurzius
companyName,MKC,McCormick & Company Incorporated
description,MKC,"McCormick & Co Inc acts as a manufacturer, marketer, and distributor of spices, herbs, extracts, seasonings, and other flavorings. It serves its products to quick-service restaurants, retail grocery chains, and packaged food processors."
exchange,MKC,New York Stock Exchange
industry,MKC,Consumer Packaged Goods
sector,MKC,Consumer Defensive
website,MKC,http://www.mccormickcorporation.com
ceo,MXIM,Tunc Doluca
companyName,MXIM,Maxim Integrated Products Inc.
description,MXIM,"Maxim Integrated Products Inc designs, develops, manufactures and markets a range of linear and mixed-signal integrated circuits, commonly referred to as analog circuits, for number of customers in diverse geographical locations."
exchange,MXIM,Nasdaq Global Select
industry,MXIM,Semiconductors
sector,MXIM,Technology
website,MXIM,http://www.maximintegrated.com
ceo,MCD,Stephen Easterbrook
companyName,MCD,McDonald's Corporation
description,MCD,"McDonald's Corp operates a chain of restaurants with over 30,000 restaurants in more than 100 countries. It also receives franchise royalties, and licensing pacts. The company offers a uniform value-priced menu with special additions based on regions."
exchange,MCD,New York Stock Exchange
industry,MCD,Restaurants
sector,MCD,Consumer Cyclical
website,MCD,http://www.aboutmcdonalds.com
ceo,MCK,John H. Hammergren
companyName,MCK,McKesson Corporation
description,MCK,"McKesson Corp provides medicines, pharmaceutical supplies, information and care management products and services across the healthcare industry. It operates with two segments namely McKesson Distribution Solutions and McKesson Technology Solutions."
exchange,MCK,New York Stock Exchange
industry,MCK,Medical Distribution
sector,MCK,Healthcare
website,MCK,http://www.mckesson.com
ceo,MDT,Omar Ishrak
companyName,MDT,Medtronic plc.
description,MDT,"Medtronic PLC is a medical technology company. It primarily manufacture and sell device-based medical therapies. It operates in Cardiac and Vascular, Minimally Invasive Therapies, Restorative Therapies and Diabetes segments."
exchange,MDT,New York Stock Exchange
industry,MDT,Medical Devices
sector,MDT,Healthcare
website,MDT,http://www.medtronic.com
ceo,MRK,Kenneth C. Frazier
companyName,MRK,Merck & Company Inc. (new)
description,MRK,"Merck & Co Inc is a health care company that delivers health solutions through its prescription medicines, vaccines, biologic therapies and animal health products."
exchange,MRK,New York Stock Exchange
industry,MRK,Drug Manufacturers
sector,MRK,Healthcare
website,MRK,http://www.merck.com
ceo,MET,Steven A. Kandarian
companyName,MET,MetLife Inc.
description,MET,"MetLife Inc provides life insurance, annuities, employee benefits and asset management in the United States, Japan, Latin America, Asia, Europe and the Middle East."
exchange,MET,New York Stock Exchange
industry,MET,Insurance - Life
sector,MET,Financial Services
website,MET,http://www.metlife.com
ceo,MTD,Olivier A. Filliol
companyName,MTD,Mettler-Toledo International Inc.
description,MTD,"Mettler-Toledo International Inc supplies weighing and precision instruments to customers in the life sciences, industrial and food retail industries. Its products are laboratory scales, pipettes, pH meters, thermal analysis equipment and others."
exchange,MTD,New York Stock Exchange
industry,MTD,Medical Instruments & Equipment
sector,MTD,Healthcare
website,MTD,http://www.mt.com
ceo,MGM,James Joseph Murren
companyName,MGM,MGM Resorts International
description,MGM,"MGM Resorts International owns and operates casino, hotel and entertainment resorts. The company offers its services through its properties in Las Vegas include Bellagio, MGM Grand, Mandalay Bay, Mirage, Luxor, and New York-New York."
exchange,MGM,New York Stock Exchange
industry,MGM,Travel & Leisure
sector,MGM,Consumer Cyclical
website,MGM,http://www.mgmresorts.com
ceo,MCHP,Steve Sanghi
companyName,MCHP,Microchip Technology Incorporated
description,MCHP,"Microchip Technology Inc develops, manufactures and sells semiconductor products used for a range of embedded control applications. It also provides license Flash-IP solutions."
exchange,MCHP,Nasdaq Global Select
industry,MCHP,Semiconductors
sector,MCHP,Technology
website,MCHP,http://www.microchip.com
ceo,MU,
companyName,MU,Micron Technology Inc.
description,MU,"Micron Technology Inc along with its subsidiaries provide memory and storage solutions. Its product portfolio consists of memory and storage technologies such as DRAM, NAND, NOR and 3D XPoint memory."
exchange,MU,Nasdaq Global Select
industry,MU,Semiconductors
sector,MU,Technology
website,MU,http://www.micron.com
ceo,MSFT,Satya Nadella
companyName,MSFT,Microsoft Corporation
description,MSFT,"Microsoft Corp is a technology company. It develop, license, and support a wide range of software products and services. Its business is organized into three segments: Productivity and Business Processes, Intelligent Cloud, and More Personal Computing."
exchange,MSFT,Nasdaq Global Select
industry,MSFT,Application Software
sector,MSFT,Technology
website,MSFT,http://www.microsoft.com
ceo,MAA,H. Eric Bolton
companyName,MAA,Mid-America Apartment Communities Inc.
description,MAA,"Mid-America Apartment Communities Inc is a multifamily focused, self-administered and self-managed REIT. The Company owns, operates, acquires and develops apartment communities in the Southeast and Southwest region of the United States."
exchange,MAA,New York Stock Exchange
industry,MAA,REITs
sector,MAA,Real Estate
website,MAA,http://www.maac.com
ceo,MHK,Jeffrey S. Lorberbaum
companyName,MHK,Mohawk Industries Inc.
description,MHK,"Mohawk Industries Inc is a flooring manufacturer that creates products to enhance residential and commercial spaces around the world. The company's business segments are Global Ceramic, Flooring North America and Flooring Rest of the World."
exchange,MHK,New York Stock Exchange
industry,MHK,Manufacturing - Apparel & Furniture
sector,MHK,Consumer Cyclical
website,MHK,http://www.mohawkind.com
ceo,TAP,Mark R. Hunter
companyName,TAP,Molson Coors Brewing Company Class B
description,TAP,"Molson Coors Brewing Co is engaged in brewing activities. It has a diverse portfolio of owned and partner brands, including core brands Carling, Coors Light, Molson Canadian and Staropramen, as well as craft and specialty beers such as Blue Moon."
exchange,TAP,New York Stock Exchange
industry,TAP,Beverages - Alcoholic
sector,TAP,Consumer Defensive
website,TAP,http://www.molsoncoors.com
ceo,MDLZ,Dirk Van de Put
companyName,MDLZ,Mondelez International Inc.
description,MDLZ,"Mondelez International Inc is associated with the confectionery industry. It manufactures and markets snack food and beverage products like biscuits, chocolate, gum and candy, and beverages.The sale of biscuits generate maximum revenue for the company."
exchange,MDLZ,Nasdaq Global Select
industry,MDLZ,Consumer Packaged Goods
sector,MDLZ,Consumer Defensive
website,MDLZ,http://www.mondelezinternational.com
ceo,MNST,Rodney C. Sacks
companyName,MNST,Monster Beverage Corporation
description,MNST,"Monster Beverage Corp develops, markets, sells and distributes energy drink beverages and/or concentrates for energy drink beverages. Its brands include Monster Energy, Java Monster, Monster Rehab, NOS, Full Throttle, Mother, among others."
exchange,MNST,Nasdaq Global Select
industry,MNST,Beverages - Non-Alcoholic
sector,MNST,Consumer Defensive
website,MNST,http://www.monsterbevcorp.com
ceo,MCO,Raymond W. Mcdaniel
companyName,MCO,Moody's Corporation
description,MCO,"Moody's Corporation publishes credit ratings, and research reports on fixed-income securities, issuers of securities, and other credit obligations. The company primarily provides opinions and reports to investors and institutions."
exchange,MCO,New York Stock Exchange
industry,MCO,Business Services
sector,MCO,Industrials
website,MCO,http://www.moodys.com
ceo,MS,James P. Gorman
companyName,MS,Morgan Stanley
description,MS,"Morgan Stanley is a global investment bank. The company has institutional securities, wealth-management, and asset-management segments."
exchange,MS,New York Stock Exchange
industry,MS,Brokers & Exchanges
sector,MS,Financial Services
website,MS,http://www.morganstanley.com
ceo,MOS,James C. O'Rourke
companyName,MOS,Mosaic Company (The)
description,MOS,Mosaic Co has its activities based in the agriculture industry. Its business involves production and marketing of crop enhancement products such as concentrated phosphate and potash crop nutrients.
exchange,MOS,New York Stock Exchange
industry,MOS,Agriculture
sector,MOS,Basic Materials
website,MOS,http://www.mosaicco.com
ceo,MSI,Gregory Q. Brown
companyName,MSI,Motorola Solutions Inc.
description,MSI,"Motorola Solutions Inc is a communications equipment manufacturer. It provides communications infrastructure, devices such as two-way portable radios, and an array of communications network management and support services."
exchange,MSI,New York Stock Exchange
industry,MSI,Communication Equipment
sector,MSI,Technology
website,MSI,http://www.motorolasolutions.com
ceo,MSCI,Henry A. Fernandez
companyName,MSCI,MSCI Inc
description,MSCI,"MSCI Inc is an independent provider of research-driven insights and tools for institutional investors. It offers content, applications and services to support the needs of institutional investors throughout their investment processes."
exchange,MSCI,New York Stock Exchange
industry,MSCI,Brokers & Exchanges
sector,MSCI,Financial Services
website,MSCI,http://www.msci.com
ceo,MYL,Heather Bresch
companyName,MYL,Mylan N.V.
description,MYL,"Mylan NV is a generic pharmaceutical manufacturer which develops, licenses, manufactures, markets and distributes generic, over-the-counter (OTC) products in a variety of dosage forms and therapeutic categories."
exchange,MYL,Nasdaq Global Select
industry,MYL,Drug Manufacturers
sector,MYL,Healthcare
website,MYL,http://www.mylan.com
ceo,NDAQ,Adena T. Friedman
companyName,NDAQ,Nasdaq Inc.
description,NDAQ,"Nasdaq Inc is a provider of trading, clearing, exchange technology, regulatory, securities listing, information and public company services."
exchange,NDAQ,Nasdaq Global Select
industry,NDAQ,Brokers & Exchanges
sector,NDAQ,Financial Services
website,NDAQ,http://www.nasdaq.com
ceo,NOV,Clay C. Williams
companyName,NOV,National Oilwell Varco Inc.
description,NOV,"National Oilwell Varco Inc is a provider in the design, manufacture and sale of equipment and components used in oil and gas drilling, completion and production operations, and the provision of oilfield services to the upstream oil and gas industry."
exchange,NOV,New York Stock Exchange
industry,NOV,Oil & Gas - Services
sector,NOV,Energy
website,NOV,http://www.nov.com
ceo,NTAP,
companyName,NTAP,NetApp Inc.
description,NTAP,"NetApp Inc provides technology solutions. It is engaged in the design, manufacturing, marketing, and technical support of high-performance storage and data management solutions. Its core product offering icnlude data storage devices such as flash drives."
exchange,NTAP,Nasdaq Global Select
industry,NTAP,Computer Hardware
sector,NTAP,Technology
website,NTAP,http://www.netapp.com
ceo,NFLX,Reed Hastings
companyName,NFLX,Netflix Inc.
description,NFLX,"Netflix Inc provides multimedia content through the internet. It provides a subscription based platform for television shows, movies and original series."
exchange,NFLX,Nasdaq Global Select
industry,NFLX,Communication Services
sector,NFLX,Communication Services
website,NFLX,http://www.netflix.com
ceo,NWL,Michael B. Polk
companyName,NWL,Newell Brands Inc.
description,NWL,"Newell Brands Inc is engaged in the household products market. Its products include stationery material such as pens & markers, food storage products and hygiene systems."
exchange,NWL,New York Stock Exchange
industry,NWL,Consumer Packaged Goods
sector,NWL,Consumer Defensive
website,NWL,http://www.newellbrands.com
ceo,NEM,Gary J. Goldberg
companyName,NEM,Newmont Mining Corporation
description,NEM,"Newmont Mining Corp is engaged in the production of gold in the United States, Australia, Peru, Ghana and Suriname. It is also engaged in the production of copper, principally through Boddington in Australia and Phoenix in the United States."
exchange,NEM,New York Stock Exchange
industry,NEM,Metals & Mining
sector,NEM,Basic Materials
website,NEM,http://www.newmont.com
ceo,NWSA,Robert Thomson
companyName,NWSA,News Corporation
description,NWSA,News Corp is a diversified media and information services company focused on creating and distributing authoritative and engaging content to consumers and businesses.
exchange,NWSA,Nasdaq Global Select
industry,NWSA,Entertainment
sector,NWSA,Consumer Cyclical
website,NWSA,http://www.newscorp.com
ceo,NWS,Robert Thomson
companyName,NWS,News Corporation
description,NWS,News Corp is a diversified media and information services company focused on creating and distributing authoritative and engaging content to consumers and businesses.
exchange,NWS,Nasdaq Global Select
industry,NWS,Entertainment
sector,NWS,Consumer Cyclical
website,NWS,http://www.newscorp.com
ceo,NEE,James L. Robo
companyName,NEE,NextEra Energy Inc.
description,NEE,"NextEra Energy Inc is an electric power company in North America. It generates renewable energy from wind and sun. The company also owns generation, transmission and distribution facilities and has investments in gas infrastructure assets."
exchange,NEE,New York Stock Exchange
